id	result
3893	"['В мире опять неспокойно, а значит ""Скучный джаз"" снова выходит на связь.', 'Возвращаемся с хиатуса во второй сезон в среду в 21:00, нагнетаем тревоги, уныния и депресняка по новой.', 'А пока представляем небольшую виньетку из прошедшего межсезонья: выступление труппы ""Скучного джаза"" на настоящей свадьбе — в связи с чем напоминаем, что мы открыты к любым формам сотрудничества, чем более ебанутых, тем даже лучше.', 'Valerie a tyden diva - The Contract / The Wedding Zdenek Liska - Silver Ball Sebastian Gandera - L’Oubil Enno Velthuys - Under Water Lewis - Like To See You Again J.M.', 'Pagan - Tema de Kiu Emily Sprague - Water Memory 1 Peter Broderick - Folks Like Me Green-House - Sansevieria Denis Wise - Light As Air Ursula K Le Guin & Todd Barton - Long Singing Jean C Roche - Alouette lulu Jonny Nash - Perfume Dream Mort Garson - Rapsody in Green R. Elizabeth - Tragedy And Trade Orquesta De Las Nubes - Para Que Pasen Las Termitas Sebastian Gandera - Chienne De Vie Virginia Astley - From Gardens Where We Feel Secure Ruins - Tides R. Elizabeth - Back From Ten Soho Rezanejad - The Garden, Deflowered Michele Mercure - Proteus and the Marlin Blair Greenberg - Beach Harold Budd - The Whispers Suso Saiz - Minimal Distance David Edren - Sundrops At Noon R. Elizabeth - Cut Piano Steven Brown - Piano 1 Toshifumi Hinata - Pavement Green-House - Parlor Palm Emily Sprague - Piano 1 Nico - My Funny Valentine Gabriel Saloman - My Funny Valentine Frank Sinatra - I’ll Never Be The Same']"
3883	['Краткая-икраткая сводка того, что было вчера Genji Sawai - Hikobae Tuxedomoon - Next To Nothing Philippe Besombes - Geant Harold Budd & Hector Zazou - Reflected In The Eye Of A Dragonfly Susumu Yokota - Flitting Ray John Johanna - Seven Metal Mountains Ron Boots & Bas Broekhuis - Floating Robert Wyatt & Jo Bogaert - Prey Dizzy Fae - Johnny Bravo (Chopped and Screwed) FITH - l’au-delà Cocteau Twins - Seekers Who Are Lovers (EP Version) Emma-Jean Thackray - Rain Dance Ratgrave - 4 Benz 1954 - It Was Love DJ DIE SOON - INTRO Archy Marshall - Any God Of Yours Laila Sakini, Lucy Van - Figures Jonnine Standish - I Don’t Seem Myself Tonight Laurel Halo - Dies Ist Ein Money Morning - American Pharaoh Afrikan Sciences - Daily Gates Tara Clerkin Trio - Hellenica Bass Clef - Song From Benedenland Philipp Otterbach - kEmHHqBrnQM Ulrich Troyer - Handwired John T. Gast - Jonathan Jonnine Standish - You Can Leave the Vampires CS + Kreme - Husk Calhau!', '- Manada Laurine Frost - Single Single Niagara - 21:44 Hilary Woods - There Is No Moon Cremation Lily - Tongue In Mouth Cornelius - Omstart Cucina Povera - Kalmankalpea Black Hat - Jaune']
3868	['А ну-ка всем здорова!', 'Такая новость: Игорёк на днях приболел и выпал, но уже снова входит в движение.', 'В связи с этим следующая доза вещания переносится на завтра, вторник, 21:00 мск — на этот раз будет индустриально-дабово-хип-хаповая немуть, довольно доступная, так что можете позвать подключиться даже свою бабушку.', 'Ну а пока что вспомним разбитое туманное музло с прошлой недели: аудиоверсия и треклист прямо перед вами.', 'Mr - 213 Maria Zerfall - Tal Der Schwarzen Spiegel Pseudo Code - The Silent Hour John Johanna - In The Court Of King Solomon Human Flesh - Every III Man Pseudo Code - Back To The Waters Kaa Antilope - Arabesques Coil - The Dreamer is still Asleep Das Wesen - Loosing Anger Nurse With Wounds - Mary Jane Cyrnai - The Day Inside Svend Undseth - Is That Called Love Nico - Camera Obscura Our Solar System - Naturligt Samspel Unknown - Untitled B4 Swell Maps - The Graveyard Shift Daphne Oram - In a Jazz Style Angel Bat Dawid - Black Family Nexda - 657 Ton Lebbink - Stil Thuis Muslimgauze - Icon Screen Tuxedomoon - In Heaven The Residents - 99 Space Areknuteknyterne - Untitled Gianni Safred - Mystification The The - Empty Night Train Home John Bender - Nippon Projectile Hydravion - L’Amour Charter Cremation Lily - Yellowed Sheets Jo Bogaert - Ambient Kinsky Cortex - Cortex R Laila Sakini, Lucy Van - Those Who See jonatan leandoer & Frederik Valentin - October Poem Braen Raskovich - Attacco A Nord-Ovest Morgue - Fire From Heaven Our Solar System - Babalon Rising']
3857	['Школьная дискотека закончилась, вот её итоги.', 'Подрубайтесь в следующий понедельник, поиграем рил-шит-музыку.', 'Frank Ocean - Summer Remains King Krule - Bleak Bake Butterfly Child - Stars Light Up Orleans Public Image Ltd - The Order Of Death The Wolfgang Press - Prostitute I The Fall - Spencer Must Die Ghostpoet - Sloth Trot Bottle Tree - What Are You Wearing Mappa Mundi - Serendipity (Take 1) Bill Nelson - Rockarolla The Wolfgang Press - Birdie Song The Wolfgang Press - Dreams & Light Bill Nelson - Dreamland Avenue Butterfly Child - Who Said What To Whom?', 'Tuxedomoon - Atlantis Bryan Ferry - Slave To Love Lunar Mansions - Daylight Rick Cuevas - The Birds Gary Davenport - Sarra Pale Saints - Featherframe Cocteau Twins - The Spangle Maker Wire - B/W Silence Sumerian Fleet - Still Walking Ghostpoet - (We’re) Dominoes Shoc Corridor - Iceberg The Wolfgang Press - Chains King Krule - The Noose Of Jah City Ought - Desire (2 Nights Alone Version) Yves Tumor - Gospel For A New Century Wire - Please Take']
3825	"['Всем спасибо за вчерашний теплый прием не самого теплого музла и четкие оценки нечетких методов сведения!', 'Треклист и аудио ниже, до встречи в следующий понедельник — ближайший выпуск ""Скучного джаза"" планируется нестандартным, поиграем не сам скучный джаз, но вдохновившие его хиты пост-панка, мб с миксингом, а мб и без него сойдет.', 'В любом случае наш режим Hz продолжит быть столь же строгим этически, но нестрогим эстетически!', 'Danny Mulhern & London Contemporary Orchestra & Robert Ames & Sope Dirisu - Libya Jacaszek - Liina Todd Rundgren - There Are No Words Chance - Intro-Amazônia The Durutti Column - Trip For An Opera Racine - Quelque Chose Tombe I NSRD - Neskaties, No.', '1 Joseph Shabason - Broken Hearted Kota Against All Logic - You (Forever) Alex Zhang Hungtai - Yaumatei Bene Gesserit - Hymne Au Ver CS + Kreme - Devotion K. Leimer - Archie’s Dub Yong Yong - Moncôco Andrew Pekler - Description of Rain (Over Frisland) KNR - Zabran Shoc Corridor - In An Empty Room Orior - Call Keller Crackers - Anem SQÜRL - In a Lonely Place Ian William Craig - Last Of The Lantern Oil Richard Skelton - IIIIIIII David Bowie - Sense of Doubt Mike Slott - Keep Me Here Jasmine Guffond - An Utterly Dark Spot glåsbird - isfjord Enno Velthuys - Part 4 (From: vreemde landen part 1) Lucy Liyou - Unnie Kroba & Sqwks - Wakakusa Orchestra of the Republican Guard, Éric Aubier, Sébastien Billard - Unanswered Question Dirty Beaches - My Girl Was A Ballerina Enno Velthuys - A Lifetime Of Lovelyness 18+ - Piano In The Snow (Null) James Ferraro - Nushawn Oliver Coates - Lime']"
3782	"['Вчерашний эфир чуть не оказался сорван по техническим обстоятельствам, но мы быстро сориентировались и on the spot замутили цифровой панк-перформанс на тему human failure, все его косяки списывайте на выбранную нами тему.', 'Для тех же, кто не любит слишком жеско, у нас сохранилась чистая версия вчерашнего сета в видео- и аудио-форматах с плейлистом и всеми удобствами.', 'Если же музыка вк у вас не оплачена, милости просим заценить это же на охуенном миксклауде: До встречи в следующий понедельник, выходные продолжаются, так что мы опять придумаем что-нибудь новенькое и погорячее!', 'Telefon Tel Aviv - still as stone in watery Talk Talk - Inheritance Tropical Hi-Fi - Tahiti Blue Svend Undseth - ???', 'Craig Leon - Visiting Hector Zazou - Étranges attracteurs Tones on Tail - Rain Cornelius - If You’re Here Vox Populi!', ""- Jube Man Mister Water Wet - Cuevas Gray - Eight Hour Religion Philipp Otterbach - The Roamer Pt.1 Coil - Omlagus Garfungiloops Gianni Safred - Planetarium DJ Nigga Fox - Quebas Nate Young & Wolf Eyes - Love Is For Everyone Telefon Tel Aviv - standing at the bottom of the ocean; Michael O'Neill - Saddled With Fear Harold Budd & Hector Zazou - The Aperture David Sylvian - Late Night Shopping Throbbing Gristle - Convincing People The Fear Ratio - GBA Minos - mammoth Boreal Massif - Fast Fashion Steven Jesse Bernstein - Morning in the Sub-Basement of Hell Ratgrave - Rock Tadleeh - Ruba Meta James Ferraro - White Bronco Lunch Money - Maddison Lee Outro Activity - Spring Low Life Ulan Bator - Soeur Violence Zelienople - Safer Steve Jansen - Sow The Salt Einstürzende Neubauten - Sandст""]"
3757	['#кто Канадский бедрум-продюсер Ник Занка выпускает музыку под псевдонимом Mister Lies еще с 2012-го года, однако только на прошлогоднем альбоме возникает чувство должного дебюта — так что не зря он и называется как будто дебютник.', 'До этого его продакшн был довольно вторичным и несобранным, амебным в плохом смысле этого слова — и только ща он нашел свой собственный голос, амебный в хорошем смысле, или даже точнее, медузообразный: неровный, вечно меняющий форму, растекающийся и переливчатый.', '#как Все и звучит тут как будто из-под воды, это, вкупе с хитрым постхипхоповым миксингом акустически собирает вместе разнообразные волны и течения, из которых он черпает вдохновение.', 'Абстрактный эмбиент здесь без препятствий перетекает в инди-рок нулевых, новый рнб, что-то похожее на трип-хоп или ресемплированный брейкбит — и так же свободно выныривает обратно.', 'Вообще по структуре, как не странно, это больше всего напоминает Safe in the Hands of Love Ива Тьюмора: такое же парадоксальное сочетание редкого, но отличного поп-сонграйтинга для недобитых хипстеров и экспериментальных фрагментов — только тут все в миллион раз более low-key, более мягкое, женственное и ненапряжное.', 'Organ Tapes, The xx, Oneohtrix Point Never, Jessie Ware Mister Lies Mister Lies, 2019 (self-released)']
3752	"['#что Третий альбом Брайана Пиньеры, второй для лейбла Энтони Нэплза, все тот же неотразимая и неповторимая музыка, очищенный от хуйни и углубленный реггатон, только еще более неторопливый, залипучий и степенный.', 'Весь альбом сложен как непрерывный микс на ровном медленно-быстром темпе 70/140bpm, явных событий тут немного, почти все изменения вкрадчивые и незаметные, возможно даже правильнее воспринимать его как один гипнотический 48-минутный трек для теплого домашнего прослушивания или утренних воскресных танцев на какой-нибудь террасе летом.', '#о_чем Такой формат релиза хорошо соотносится с темой альбома: mas amable по-испански значит ""более добрый, более дружелюбный"" — и Пиньеро посвящает его своим друзьям, с которыми вместе он ""съел не один суп"" (да, почти так он и пишет).', 'Собственно друзья Пиньеры сделали и удачную визуализацию альбома в виде 3D-рендеринга уютной комнаты с камином, книжкой и, вероятно, тем самым горячим супом (прикладываем её в комментариях).', 'Так и надо воспринимать эту музыку — как приглашение в товарищеский круг без всяких условий, кроме разве что одного: суетиться тут не следует, а в особенности музыку на этой вечеринке переключать ни в коем случае нельзя.', '#ассоциации_(далекие) Boards of Canada, Prince of Denmark DJ Python Mas Amable, 2020 (Incienso)']"
3751	['Между всем мы вчера вышли на первую космическую скорость, достигнув первого лимита.', 'Надо помнить, что преграды существуют только для того, чтобы их преодолевать — поэтому это нас ничуть не остановит и мы продолжим идти на вторую космическую теми же темпами и в том же формате, как всегда выкрутимся.', 'Но это хороший повод напомнить про то, что запощенных рецух у нас чуть только чуть больше тысячи, тогда как залитых в аудио релизов уже две тысячи: какие-то из них ещё ожидает скорый или нескорый обзор, а до каких-то руки так никогда и не дотянутся.', 'Поэтому всячески советуем не дожидаться нашего благословения на прослушивания, а просто переходить в аудио UYEBAR и слушать все подряд или то, что зацепит по обложке — селекшн у нас разнообразный и часто неплохой, как вы уже знаете.']
3746	['#кто Три испанца, один из которых с фальцетом, скорее похожим на женский вокал, вдохновляются Марком Холлисом и его группой Talk Talk, но идут скорее явно по стопам Rhye, правда доходят в своем мягком минималистичном электронном продакшне намного дальше него.', '#че Их прошлогодний третий альбом Gallery Love, определенно лучшая их запись, приглушенный даунтемпо-соул, простенький, гладенький и чилловый на первый взгляд, но скрывающий в себе много аранжированных изысков.', 'Советую, например, обратить внимание на мой любимый здешний трек Best in You — такой глючной модуляции, не просто развивающей мелодическую тему, а буквально плавящей всю ткань песни я ещё не слышал, разве что мб на каких-то наиболее экспериментальных штуках Джеймса Блейка.', 'дождь, осень, сопли, Rhye, Sade, Jessy Lanza, James Blake, Mark Hollis solo Oso Leone Gallery Love, 2019 (Apollo)']
